park_id,land_id,land_name,ride_id,ride_name,is_open,wait_time,last_updated_utc,ingested_at_utc,source,raw_file,last_updated_local,date,hour,day_of_week,day_of_week_num,month,year,is_weekend,time_period
319,,,11354,Memorial Beto Carrero,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11368,Montanha-russa Dum Dum,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,12327,NERF Arcade!,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,12598,No Ritmo de Trolls,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11355,O Sonho do Cowboy!,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11379,Ponte Pênsil,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11337,Portal da Escuridão ,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11367,Raskapuska,True,35,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11444,Rebuliço,True,10,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11328,Roda-Gigante,True,40,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,12325,SPIN BLAST,True,15,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11335,Star Mountain,True,10,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,12326,SUPER SOAKER SPLASH,True,5,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11336,Tchibum,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11332,Tigor Mountain,True,45,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,15407,TURBO DRIVE,True,40,2026-05-21 20:00:06+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:06-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11373,Xícaras Malucas,True,0,2026-05-21 20:00:05+00:00,2026-05-21 20:01:51.104747+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T200151Z.json,2026-05-21 17:00:05-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
